Subclass,Order,Superfamily,Family,Species_ID,Biovolume_mm3,Genus,Species,B0 Order
Heterodonta,Veneroida,Lucinoidea,Thyasiridae,Thy17,7.596086341,Thyasira,Thyasira incrassata,0.42
Heterodonta,Veneroida,Lucinoidea,Thyasiridae,Thy18,1.096287777,Thyasira,Thyasira inflata,0.42
Heterodonta,Veneroida,Lucinoidea,Thyasiridae,Thy19,67.53221197,Thyasira,Thyasira obsoleta,0.42
Heterodonta,Veneroida,Lucinoidea,Thyasiridae,Thy20,5.431724755,Thyasira,Thyasira pygmaea,0.42
Heterodonta,Veneroida,Lucinoidea,Thyasiridae,Thy21,7.551499138,Thyasira,Thyasira subovata ,0.42
Heterodonta,Veneroida,Lucinoidea,Thyasiridae,Thy22,6.141703754,Thyasira,Thyasira succisa,0.42
Heterodonta,Veneroida,Lucinoidea,Thyasiridae,Thy23,21.0445394,Thyasira,Thyasira tortuosa,0.42
Heterodonta,Veneroida,Lucinoidea,Thyasiridae,Thy24,3.110891888,Thyasira,Thyasira transversa,0.42
Heterodonta,Veneroida,Lucinoidea,Thyasiridae,Thy25,5.18871347,Thyasira,Thyasira ultima,0.42
Heterodonta,Veneroida,Lucinoidea,Thyasiridae,Thy26,0.969078532,Thyasira,Thyasira verrilli,0.42
Heterodonta,Veneroida,Lucinoidea,Thyasiridae,Thy27,61.72899541,Thyasira,Thyasira sp. 2a,0.42
Heterodonta,Veneroida,Lucinoidea,Thyasiridae,Thy28,61.72899541,Thyasira,Thyasira sp. 17,0.42
Heterodonta,Veneroida,Lucinoidea,Thyasiridae,Thy29,61.72899541,Thyasira,Thyasira sp. 21,0.42
Heterodonta,Veneroida,Lucinoidea,Thyasiridae,Thy34,73.25735319,Thyasira,Thyasira equalis ,0.42
Heterodonta,Veneroida,Lucinoidea,Thyasiridae,Thy38,7374.694048,Thyasira,Thyasira trisinuata,0.42
Heterodonta,Veneroida,Lucinoidea,Thyasiridae,Thy39,3437.688165,Thyasira,Thyasira excavata plicata,0.42
